Sample1;IR88888-UBN3-4;Sample3;
IR 90266-B-228-1/IR 09F120;IR 90266-B-228-1;IR 05F102;
IR 90266-B-228-1/IR 09F128;IR 90266-B-228-1;IR 09F120;
IR 74371-70-1-1/IRRI 149;IR 90266-B-228-1;IR 09F128;
IR 74371-70-1-1/IR 07F287;IR 74371-70-1-1;IRRI 149;
IR 74371-70-1-1/IR 09F146;IR 74371-70-1-1;IR 07F287;
IR 74371-70-1-1/IR 09F154;IR 74371-70-1-1;IR 09F146;
MR 219/IR 09F230;IR 74371-70-1-1;IR 09F154;
MR 219/IR 09F226;MR 219;IR 09F230;
MR 219/IR 09F237;MR 219;IR 09F226;
MR 219/IR 09F238;MR 219;IR 09F237;
N 22/IR 07F290;MR 219;IR 09F238;
N 22/IR 07F291;N 22;IR 07F290;
N 22/IR 07F289;N 22;IR 07F291;
N 22/IR 09F260;N 22;IR 07F289;
SAMBHA MAHSURI/IR 09F209;N 22;IR 09F260;
SAMBHA MAHSURI/IR 09F218;SAMBHA MAHSURI;IR 09F209;
SAMBHA MAHSURI/IR 09F291;SAMBHA MAHSURI;IR 09F218;
SAMBHA MAHSURI/IR 67495-NDR 2-1-1-1-1;SAMBHA MAHSURI;IR 09F291;
VANDANA/ANJALI;SAMBHA MAHSURI;IR 67495-NDR 2-1-1-1-1;
VANDANA/BR 11;VANDANA;ANJALI;
VANDANA/IR 07F290;VANDANA;BR 11;
VANDANA/CT 9993-5-10-1-M;VANDANA;IR 07F290;
IR 67962-84-2-2-2/IR 77298-14-1-2-10;IR 67962-84-2-2-2;IR 01A163;
IR 67962-84-2-2-2/IR 77298-5-6-18;IR 67962-84-2-2-2;IR 77298-14-1-2-10;
IR 67962-84-2-2-2/IR 78875-176-B-2;IR 67962-84-2-2-2;IR 77298-5-6-18;
IR 67966-44-2-3/IR 78875-190-B-1-3;IR 67962-84-2-2-2;IR 78875-176-B-2;
IR 67966-44-2-3/IR 78908-143-B-4;IR 67966-44-2-3;IR 78875-190-B-1-3;
IR 67966-44-2-3/IR 78985-B-6-B-B-B;IR 67966-44-2-3;IR 78908-143-B-4;
IR 67966-44-2-3/IR 79913-B-176-B-4;IR 67966-44-2-3;IR 78985-B-6-B-B-B;
IR07N112/IR 79971-B-369;IR 67966-44-2-3;IR 79913-B-176-B-4;
IR07N112/IR 79971-B-381;IR07N112;IR 79971-B-369;
IR07N112/IR 81039-B-173-U 3-3;IR07N112;IR 79971-B-381;
IR07N112/IR 81063-B-94-U 3-1;IR07N112;IR 81039-B-173-U 3-3;
IR08N121/IR 68450-36-3-2-2-3;IR07N112;IR 81063-B-94-U 3-1;
IR08N121/IR 69428-6-1-1-3-3;IR08N121;IR 68450-36-3-2-2-3;
IR08N121/IR 69807-13-2-1;IR08N121;IR 69428-6-1-1-3-3;
