N/A,FH 132/IR 6 (PAKISTAN),288,in standardized format,"ITA 306",ITA 306,289,in standardized format,"IR 2307#IR 2307-247#IR 2307-247-2#IR 2307-247-2-2#IR 2307-247-2-2-3",IR 2307-247-2-2-3,
N/A,SARO 5/IR10C112,290,in standardized format,"FH 132",FH 132,291,in standardized format,"IR 72",IR 72,
N/A,SARO 5/IR10C114,292,in standardized format,"SARO 5",SARO 5,293,in standardized format,"IR10C112",IR10C112,
N/A,SR 26 B/IR10C126,294,in standardized format,"SARO 5",SARO 5,295,in standardized format,"IR10C114",IR10C114,
N/A,SR 26 B/IR10C135,296,in standardized format,"SR 26 B",SR 26 B,297,in standardized format,"IR10C126",IR10C126,
N/A,SUPA/IR10C140,298,in standardized format,"SR 26 B",SR 26 B,299,in standardized format,"IR10C135",IR10C135,
N/A,SUPA/IR10C141,300,in standardized format,"SUPA",SUPA,301,in standardized format,"IR10C140",IR10C140,
N/A,SWARNA/IR10C144,302,in standardized format,"SUPA",SUPA,303,in standardized format,"IR10C141",IR10C141,
N/A,SWARNA/CENTAURO,304,in standardized format,"SWARNA",SWARNA,305,in standardized format,"IR10C144",IR10C144,
N/A,TCCP 266-1-3B-13-1-3/COLOMBIA XXI,306,in standardized format,"SWARNA",SWARNA,307,in standardized format,"CENTAURO",CENTAURO,
N/A,NONA BOKRA/FEDEARROZ 2000,308,in standardized format,"NONA BOKRA",NONA BOKRA,309,in standardized format,"DULAR",DULAR,
N/A,NONA BOKRA/FEDEARROZ 21,310,in standardized format,"NONA BOKRA",NONA BOKRA,311,in standardized format,"FEDEARROZ 2000",FEDEARROZ 2000,
N/A,IR11T213/FEDEARROZ 473,312,in standardized format,"NONA BOKRA",NONA BOKRA,313,in standardized format,"FEDEARROZ 21",FEDEARROZ 21,
N/A,IR11T213/FEDEARROZ MOCARE,314,in standardized format,"IR11T213",IR11T213,315,in standardized format,"FEDEARROZ 473",FEDEARROZ 473,
N/A,IR11T213/GIZA 178,316,in standardized format,"IR11T213",IR11T213,317,in standardized format,"FEDEARROZ MOCARE",FEDEARROZ MOCARE,
N/A,IR11T189/IDSA 77,318,in standardized format,"IR11T213",IR11T213,319,in standardized format,"GIZA 178",GIZA 178,
N/A,IR11T189/IR 2006-P12-12-2-2,320,in standardized format,"IR11T189",IR11T189,321,in standardized format,"IDSA 77",IDSA 77,
N/A,IR11T189/IR 2307-247-2-2-3,322,in standardized format,"IR11T189",IR11T189,323,"IR 2006-P12^-12-2-2	;string pattern not recognized. #",N/A,IR 2006-P12-12-2-2,
N/A,IR 85891-9-2-1-AJY 1-B/IR 6 (PAKISTAN),324,in standardized format,"IR11T189",IR11T189,325,in standardized format,"IR 2307#IR 2307-247#IR 2307-247-2#IR 2307-247-2-2#IR 2307-247-2-2-3",IR 2307-247-2-2-3,
N/A,IR 85891-9-2-1-AJY 1-B/IR 72,326,in standardized format,"IR 85891#IR 85891-9#IR 85891-9-2#IR 85891-9-2-1#IR 85891-9-2-1-AJY 1#IR 85891-9-2-1-AJY 1-B",IR 85891-9-2-1-AJY 1-B,327,in standardized format,"IR 6 (PAKISTAN)",IR 6 (PAKISTAN),
N/A,IR 85891-9-2-1-AJY 1-B/IR10C112,328,in standardized format,"IR 85891#IR 85891-9#IR 85891-9-2#IR 85891-9-2-1#IR 85891-9-2-1-AJY 1#IR 85891-9-2-1-AJY 1-B",IR 85891-9-2-1-AJY 1-B,329,in standardized format,"IR 72",IR 72,
N/A,IR 85891-B-B-AJY 1-B/IR10C114,330,in standardized format,"IR 85891#IR 85891-9#IR 85891-9-2#IR 85891-9-2-1#IR 85891-9-2-1-AJY 1#IR 85891-9-2-1-AJY 1-B",IR 85891-9-2-1-AJY 1-B,331,in standardized format,"IR10C112",IR10C112,
N/A,IR 85891-B-B-AJY 1-B/IR10C126,332,in standardized format,"IR 85891#IR 85891-B#IR 85891-B-B#IR 85891-B-B-AJY 1#IR 85891-B-B-AJY 1-B",IR 85891-B-B-AJY 1-B,333,in standardized format,"IR10C114",IR10C114,
N/A,IR 85891-B-B-AJY 1-B/IR10C135,334,in standardized format,"IR 85891#IR 85891-B#IR 85891-B-B#IR 85891-B-B-AJY 1#IR 85891-B-B-AJY 1-B",IR 85891-B-B-AJY 1-B,335,in standardized format,"IR10C126",IR10C126,
N/A,IR 84649-97-3-1-B-B/IR10C140,336,in standardized format,"IR 85891#IR 85891-B#IR 85891-B-B#IR 85891-B-B-AJY 1#IR 85891-B-B-AJY 1-B",IR 85891-B-B-AJY 1-B,337,in standardized format,"IR10C135",IR10C135,
N/A,IR 84649-97-3-1-B-B/IR10C141,338,in standardized format,"IR 84649#IR 84649-97#IR 84649-97-3#IR 84649-97-3-1#IR 84649-97-3-1-B#IR 84649-97-3-1-B-B",IR 84649-97-3-1-B-B,339,in standardized format,"IR10C140",IR10C140,
N/A,IR 84649-97-3-1-B-B/IR10C144,340,in standardized format,"IR 84649#IR 84649-97#IR 84649-97-3#IR 84649-97-3-1#IR 84649-97-3-1-B#IR 84649-97-3-1-B-B",IR 84649-97-3-1-B-B,341,in standardized format,"IR10C141",IR10C141,
N/A,IR11T153/CENTAURO,342,in standardized format,"IR 84649#IR 84649-97#IR 84649-97-3#IR 84649-97-3-1#IR 84649-97-3-1-B#IR 84649-97-3-1-B-B",IR 84649-97-3-1-B-B,343,in standardized format,"IR10C144",IR10C144,
